a52dec 0.8.0-2
qt5-x11extras 5.15.13-1
qt6-base 6.7.0-5
qt6-declarative 6.7.0-1
qt6-svg 6.7.0-1
qt6-translations 6.7.0-1
qtile 0.25.0-2
ranger 1.9.3-11
rav1e 0.7.1-1
readline 8.2.010-1
ripgrep 14.1.0-1
rofi 1.7.5-2
rsync 3.3.0-2
rtkit 0.13-2
rubberband 3.3.0-1
sbc 2.0-1
scrot 1.10-3
sddm 0.21.0-4
sdl2 2.30.3-1
seatd 0.8.0-1
sed 4.9-3
semver 7.6.0-1
shaderc 2024.0-1
shadow 4.15.1-2
shared-mime-info 2.4-1
slang 2.3.3-2
snapd 2.62-1
snappy 1.1.10-1
sound-theme-freedesktop 0.8-5
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2024.1-1
sqlite 3.45.3-1
squashfs-tools 4.6.1-1
srt 1.5.3-1
startup-notification 0.12-8
sudo 1.9.15.p5-1
svt-av1 2.0.0-1
systemd 255.5-4
systemd-libs 255.5-4
systemd-resolvconf 255.5-4
systemd-sysvcompat 255.5-4
taglib 2.0.1-1
tar 1.35-2
tdb 1.4.10-3
texinfo 7.1-2
thunar 4.18.10-2
tidy 5.8.0-2
tmux 3.4-7
tpm2-tss 4.0.1-1
tracker3 3.7.3-1
tree-sitter 0.22.5-1
tree-sitter-bash 0.21.0-2
tree-sitter-c 0.21.0-2
tree-sitter-lua 0.1.0-2
tree-sitter-markdown 0.2.3-2
tree-sitter-python 0.21.0-2
tree-sitter-query 0.2.1-2
tree-sitter-vimdoc 2.5.1-2
tslib 1.23-1
ttf-cascadia-code-nerd 3.2.1-1
ttf-firacode-nerd 3.2.1-1
ttf-jetbrains-mono 2.304-1
tzdata 2024a-2
udiskie 2.5.2-2
udisks2 2.10.1-4
ueberzug 18.2.2-2
unibilium 2.1.1-2
unzip 6.0-20
util-linux 2.40-3
util-linux-libs 2.40-3
v4l-utils 1.26.1-1
vapoursynth R66-2
vdpauinfo 1.5-1
vid.stab 1.1.1-1
vlc 3.0.20-8
vmaf 3.0.0-1
volume_key 0.3.12-9
volumeicon 0.5.1-5
vulkan-headers 1:1.3.279-1
vulkan-icd-loader 1.3.279-1
wayland 1.22.0-1
webrtc-audio-processing-1 1.3-2
which 2.21-6
wlroots0.16 0.16.2-2
wmctrl 1.07-6
wpa_supplicant 2:2.10-8
x264 3:0.164.r3108.31e19f9-1
x265 3.5-3
xbitmaps 1.1.3-1
xcb-proto 1.17.0-2
xcb-util 0.4.1-1
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xclip 0.13-5
xdg-user-dirs 0.18-1
xdg-utils 1.2.1-1
xdotool 3.20211022.1-1
xf86-input-libinput 1.4.0-1
xfconf 4.18.3-1
xfsprogs 6.7.0-1
xkeyboard-config 2.41-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.13-1
xorg-server-common 21.1.13-1
xorg-setxkbmap 1.3.4-1
xorg-xauth 1.1.3-1
xorg-xev 1.2.6-1
xorg-xinit 1.4.2-1
xorg-xkbcomp 1.4.7-1
xorg-xmodmap 1.0.11-1
xorg-xprop 1.2.7-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.2-1
xorg-xset 1.2.5-1
xorgproto 2024.1-2
xterm 390-2
xvidcore 1.3.7-2
xxhash 0.8.2-1
xz 5.6.1-3
yay 12.3.5-1
yay-debug 12.3.5-1
zeromq 4.3.5-2
zimg 3.0.5-1
zlib 1:1.3.1-2
zstd 1.5.5-1
